PROVINCE/CITY/MUNICIPALITY,Affected_BRGY, Affected_FAMILY,Affected_PERSONS,Num_EC, ServedInsideEC_Fam,ServedInsideEC_Pers,ServedOutsideEC_Fam,ServedOutsideEC_Pers,TotalServed_Fam,TotalServed_Pers
GRAND TOTAL,61,23425,89879,57,16376,62097,1357,5491,17733,67588
Bacacay,1,139,506,1,138,505,-,-,139,505
Camalig,14,3090,11597,7,2152,7900,287,1336,2439,9236
Daraga,6,3421,14110,5,1388,5721,791,3272,2179,8993
Guinobatan,7,3590,12180,19,2650,8882,113,352,2763,9234
Legazpi City,9,4553,17158,7,2932,11285,121,363,3053,11648
Ligao City,5,1411,6055,4,953,4024,-,-,953,4024
Malilipot,3,1349,5237,3,1304,5067,45,168,1349,5234
Santo Domingo, 7,3932,15343,4,2944,11141,-,-,2944,11141
Tabaco City, 9,1940,7693,7,1915,7572,-,-,1915,7572
